n,theta_rad,theta_deg,axis,target_qubit,function,error_position,P0,shots
1,0.0,0.0,X,0,constant_1,no_error,1.0,1024
1,0.0,0.0,X,0,constant_1,E1_before_H,1.0,1024
1,0.0,0.0,X,0,constant_1,E2_after_first_H,1.0,1024
1,0.0,0.0,X,0,constant_1,E3_after_oracle,1.0,1024
1,0.0,0.0,X,0,constant_1,E4_after_final_H,1.0,1024
1,0.0,0.0,Y,0,constant_1,no_error,1.0,1024
1,0.0,0.0,Y,0,constant_1,E1_before_H,1.0,1024
1,0.0,0.0,Y,0,constant_1,E2_after_first_H,1.0,1024
1,0.0,0.0,Y,0,constant_1,E3_after_oracle,1.0,1024
1,0.0,0.0,Y,0,constant_1,E4_after_final_H,1.0,1024
1,0.0,0.0,Z,0,constant_1,no_error,1.0,1024
1,0.0,0.0,Z,0,constant_1,E1_before_H,1.0,1024
1,0.0,0.0,Z,0,constant_1,E2_after_first_H,1.0,1024
1,0.0,0.0,Z,0,constant_1,E3_after_oracle,1.0,1024
1,0.0,0.0,Z,0,constant_1,E4_after_final_H,1.0,1024
1,0.17453292519943295,10.0,X,0,constant_1,no_error,1.0,1024
1,0.17453292519943295,10.0,X,0,constant_1,E1_before_H,0.9912109375,1024
1,0.17453292519943295,10.0,X,0,constant_1,E2_after_first_H,1.0,1024
1,0.17453292519943295,10.0,X,0,constant_1,E3_after_oracle,1.0,1024
1,0.17453292519943295,10.0,X,0,constant_1,E4_after_final_H,0.99609375,1024
1,0.17453292519943295,10.0,Y,0,constant_1,no_error,1.0,1024
1,0.17453292519943295,10.0,Y,0,constant_1,E1_before_H,0.9921875,1024
1,0.17453292519943295,10.0,Y,0,constant_1,E2_after_first_H,0.994140625,1024
1,0.17453292519943295,10.0,Y,0,constant_1,E3_after_oracle,0.9912109375,1024
1,0.17453292519943295,10.0,Y,0,constant_1,E4_after_final_H,0.994140625,1024
1,0.17453292519943295,10.0,Z,0,constant_1,no_error,1.0,1024
1,0.17453292519943295,10.0,Z,0,constant_1,E1_before_H,1.0,1024
1,0.17453292519943295,10.0,Z,0,constant_1,E2_after_first_H,0.990234375,1024
1,0.17453292519943295,10.0,Z,0,constant_1,E3_after_oracle,0.9912109375,1024
1,0.17453292519943295,10.0,Z,0,constant_1,E4_after_final_H,1.0,1024
1,0.3490658503988659,20.0,X,0,constant_1,no_error,1.0,1024
1,0.3490658503988659,20.0,X,0,constant_1,E1_before_H,0.970703125,1024
1,0.3490658503988659,20.0,X,0,constant_1,E2_after_first_H,1.0,1024
1,0.3490658503988659,20.0,X,0,constant_1,E3_after_oracle,1.0,1024
1,0.3490658503988659,20.0,X,0,constant_1,E4_after_final_H,0.9736328125,1024
1,0.3490658503988659,20.0,Y,0,constant_1,no_error,1.0,1024
1,0.3490658503988659,20.0,Y,0,constant_1,E1_before_H,0.9716796875,1024
1,0.3490658503988659,20.0,Y,0,constant_1,E2_after_first_H,0.9736328125,1024
1,0.3490658503988659,20.0,Y,0,constant_1,E3_after_oracle,0.962890625,1024
1,0.3490658503988659,20.0,Y,0,constant_1,E4_after_final_H,0.9658203125,1024
1,0.3490658503988659,20.0,Z,0,constant_1,no_error,1.0,1024
1,0.3490658503988659,20.0,Z,0,constant_1,E1_before_H,1.0,1024
1,0.3490658503988659,20.0,Z,0,constant_1,E2_after_first_H,0.97265625,1024
1,0.3490658503988659,20.0,Z,0,constant_1,E3_after_oracle,0.978515625,1024
1,0.3490658503988659,20.0,Z,0,constant_1,E4_after_final_H,1.0,1024
1,0.5235987755982988,29.999999999999996,X,0,constant_1,no_error,1.0,1024
1,0.5235987755982988,29.999999999999996,X,0,constant_1,E1_before_H,0.9228515625,1024
1,0.5235987755982988,29.999999999999996,X,0,constant_1,E2_after_first_H,1.0,1024
1,0.5235987755982988,29.999999999999996,X,0,constant_1,E3_after_oracle,1.0,1024
1,0.5235987755982988,29.999999999999996,X,0,constant_1,E4_after_final_H,0.9228515625,1024
1,0.5235987755982988,29.999999999999996,Y,0,constant_1,no_error,1.0,1024
1,0.5235987755982988,29.999999999999996,Y,0,constant_1,E1_before_H,0.9365234375,1024
1,0.5235987755982988,29.999999999999996,Y,0,constant_1,E2_after_first_H,0.943359375,1024
1,0.5235987755982988,29.999999999999996,Y,0,constant_1,E3_after_oracle,0.9267578125,1024
1,0.5235987755982988,29.999999999999996,Y,0,constant_1,E4_after_final_H,0.9384765625,1024
1,0.5235987755982988,29.999999999999996,Z,0,constant_1,no_error,1.0,1024
1,0.5235987755982988,29.999999999999996,Z,0,constant_1,E1_before_H,1.0,1024
1,0.5235987755982988,29.999999999999996,Z,0,constant_1,E2_after_first_H,0.94140625,1024
1,0.5235987755982988,29.999999999999996,Z,0,constant_1,E3_after_oracle,0.943359375,1024
1,0.5235987755982988,29.999999999999996,Z,0,constant_1,E4_after_final_H,1.0,1024
1,0.6981317007977318,40.0,X,0,constant_1,no_error,1.0,1024
1,0.6981317007977318,40.0,X,0,constant_1,E1_before_H,0.8798828125,1024
1,0.6981317007977318,40.0,X,0,constant_1,E2_after_first_H,1.0,1024
1,0.6981317007977318,40.0,X,0,constant_1,E3_after_oracle,1.0,1024
1,0.6981317007977318,40.0,X,0,constant_1,E4_after_final_H,0.8818359375,1024
1,0.6981317007977318,40.0,Y,0,constant_1,no_error,1.0,1024
1,0.6981317007977318,40.0,Y,0,constant_1,E1_before_H,0.8828125,1024
1,0.6981317007977318,40.0,Y,0,constant_1,E2_after_first_H,0.8720703125,1024
1,0.6981317007977318,40.0,Y,0,constant_1,E3_after_oracle,0.875,1024
1,0.6981317007977318,40.0,Y,0,constant_1,E4_after_final_H,0.8916015625,1024
1,0.6981317007977318,40.0,Z,0,constant_1,no_error,1.0,1024
1,0.6981317007977318,40.0,Z,0,constant_1,E1_before_H,1.0,1024
1,0.6981317007977318,40.0,Z,0,constant_1,E2_after_first_H,0.884765625,1024
1,0.6981317007977318,40.0,Z,0,constant_1,E3_after_oracle,0.8759765625,1024
1,0.6981317007977318,40.0,Z,0,constant_1,E4_after_final_H,1.0,1024
1,0.8726646259971648,50.0,X,0,constant_1,no_error,1.0,1024
1,0.8726646259971648,50.0,X,0,constant_1,E1_before_H,0.83203125,1024
1,0.8726646259971648,50.0,X,0,constant_1,E2_after_first_H,1.0,1024
1,0.8726646259971648,50.0,X,0,constant_1,E3_after_oracle,1.0,1024
1,0.8726646259971648,50.0,X,0,constant_1,E4_after_final_H,0.853515625,1024
1,0.8726646259971648,50.0,Y,0,constant_1,no_error,1.0,1024
1,0.8726646259971648,50.0,Y,0,constant_1,E1_before_H,0.80859375,1024
1,0.8726646259971648,50.0,Y,0,constant_1,E2_after_first_H,0.8447265625,1024
1,0.8726646259971648,50.0,Y,0,constant_1,E3_after_oracle,0.822265625,1024
1,0.8726646259971648,50.0,Y,0,constant_1,E4_after_final_H,0.830078125,1024
1,0.8726646259971648,50.0,Z,0,constant_1,no_error,1.0,1024
1,0.8726646259971648,50.0,Z,0,constant_1,E1_before_H,1.0,1024
1,0.8726646259971648,50.0,Z,0,constant_1,E2_after_first_H,0.8349609375,1024
1,0.8726646259971648,50.0,Z,0,constant_1,E3_after_oracle,0.8076171875,1024
1,0.8726646259971648,50.0,Z,0,constant_1,E4_after_final_H,1.0,1024
1,1.0471975511965976,59.99999999999999,X,0,constant_1,no_error,1.0,1024
1,1.0471975511965976,59.99999999999999,X,0,constant_1,E1_before_H,0.75,1024
